Month-Year,Actual Corn Price,Predicted Corn Price
2008-05,882.8518254113576,883.8768660937951
2008-06,923.0003969404432,922.8763559971183
2008-07,885.1222726359512,882.3135796803559
2008-08,800.0837302132259,799.3935105206056
2008-09,796.8661904713464,796.1950859841531
2008-10,641.4800724499468,644.6518397062695
2008-11,587.3364913003486,587.5952367254329
2008-12,581.2730303099661,579.8630592757142
2009-01,601.3994166692098,602.5858058973166
2009-02,551.540701749032,552.278554960512
2009-03,549.5031060161012,549.0084752656167
2009-04,583.0411905561175,581.7504182993858
2009-05,616.3187499682109,615.1983699875431
2009-06,628.6607575850053,627.5144068094033
2009-07,586.5540151885061,585.8340328710046
2009-08,591.0257937113444,591.5552364459038
2009-09,474.27491234896473,473.6821773005382
2009-10,581.3253787647594,582.4250382349212
2009-11,624.0662500063578,624.0156316593335
2009-12,628.2828031019731,628.4322975506619
2010-01,598.1844736735026,597.9129822441861
2010-02,577.1318421614798,576.9156405025865
2010-03,554.2963768779367,554.6344809675744
2010-04,555.7862698388478,555.7931310994439
2010-05,537.5344166119893,538.0488549605641
2010-06,520.1137878244573,520.4788688542093
2010-07,541.9546031951904,542.1019808631462
2010-08,592.0446969812566,594.1278621697004
2010-09,641.4923016078889,640.5020479563534
2010-10,701.4265079498291,701.2619937219167
2010-11,724.5495238531204,724.3371296726064
2010-12,759.1424243233421,759.154989551005
2011-01,797.1829999923706,797.6305965877565
2011-02,832.7662281571774,832.0216925861823
2011-03,777.6392753435218,777.0309915630727
2011-04,810.8326666514079,810.9730037437135
2011-05,808.6732539525108,809.8929581342238
2011-06,788.9237878683841,789.320411831147
2011-07,800.7318332990011,799.9294682432825
2011-08,830.2864492112312,828.9791595636705
2011-09,821.5061111752949,822.2482475513373
2011-10,763.2404761844211,763.0243987790752
2011-11,726.4404761602008,726.770427115936
2011-12,696.0611111474416,696.5124557615055
2012-01,719.445666662852,720.1727119987343
2012-02,728.2113333384196,727.5892770420438
2012-03,751.2804545200232,751.576077949546
2012-04,772.1870833396912,772.5761487409318
2012-05,760.0526514920322,760.2853097742021
2012-06,747.7595238155789,749.5982036157619
2012-07,874.4206349811857,873.7399750107294
2012-08,895.42159420511,895.1287714492689
2012-09,877.5605263291744,877.9311129515331
2012-10,855.0325396704295,855.9863173758702
2012-11,832.4039682055277,832.7361996027608
2012-12,829.764416662852,830.2058062430913
2013-01,814.260317423987,814.0944692936085
2013-02,825.8471052604809,826.3250267794692
2013-03,813.89608335495,814.3745645793468
2013-04,794.4467424334902,794.4857831873477
2013-05,811.9148484721328,812.5859082945068
2013-06,824.4528333346049,823.9615388378975
2013-07,790.6192424369581,791.5434620384831
2013-08,752.1631818829161,753.0599334975915
2013-09,746.0995000521342,746.0079781972959
2013-10,728.5072463768116,729.2588350519075
2013-11,731.389833386739,731.99044558869
2013-12,730.7088888864669,731.0289150813338
2014-01,722.267063534449,723.0370528623437
2014-02,753.1814913164105,753.429872435006
2014-03,781.9006349170019,781.9943702850073
2014-04,791.0358729892307,791.2090219082838
2014-05,784.8879364558628,785.6865061320276
2014-06,739.4897618672204,740.909775970085
2014-07,674.2530303434892,674.4523848704667
2014-08,640.4678571186369,641.1078930589114
2014-09,594.2635713910299,594.5316306187441
2014-10,588.4734782481539,588.3081592187189
2014-11,595.3440350649649,595.326153990809
2014-12,603.1388636502353,603.7507434021755
2015-01,567.9827500343323,568.8741747971527
2015-02,547.2280701085141,547.3298971540273
2015-03,548.0189393939394,548.3222455054171
2015-04,530.6674603356255,530.7763173459728
2015-05,510.0332500616709,510.8998337475657
2015-06,522.3711362896544,522.1886130229976
2015-07,553.7884848623564,553.3555435704192
2015-08,534.8663492051381,534.4036172742443
2015-09,541.6407936338394,541.356294881574
2015-10,543.6818181962678,544.226915382174
2015-11,527.191083351771,527.1730729618306
2015-12,517.0002273068284,517.2335087870135
2016-01,511.0523684484917,510.4812228639151
2016-02,498.8574999968211,498.8804294179477
2016-03,493.7224242759473,493.46650248403773
2016-04,508.8036507500543,508.47629803142706
2016-05,542.0256349321396,541.7831539403714
2016-06,559.4915150584596,559.937529753921
2016-07,517.0953333059947,516.8059292220918
2016-08,486.8353622961735,486.82737132287934
2016-09,477.7942063770597,477.57609529629445
2016-10,498.6141666412353,498.9406756902208
2016-11,495.0776666323344,495.07586010015353
2016-12,497.5498412904285,497.8915323151336
2017-01,513.3436666806539,512.8260627923962
2017-02,515.1251753422252,515.1751958497221
2017-03,508.358333380326,508.38101445293034
2017-04,494.9033333627801,495.23212567987963
2017-05,511.6179545431426,511.5467667043983
2017-06,528.6731060923952,529.1171419255214
2017-07,565.4075833002727,565.2633798700833
2017-08,540.3944927436718,540.5658206452631
2017-09,544.1585000038147,543.5272757833243
2017-10,539.7021969881924,539.7990386307445
2017-11,537.0961904374379,536.188465290639
2017-12,533.2125833829244,533.6916562794377
2018-01,541.1958730485704,540.9956051710732
2018-02,561.7948245500263,561.5222746587042
2018-03,570.5687301575191,570.4887729079175
2018-04,577.6592857572767,577.2708062722345
2018-05,573.5777272889109,573.3521487277034
2018-06,543.4165873300461,542.5103776288732
2018-07,527.4487301054455,526.8288720927688
2018-08,520.4855797532676,520.3016474199679
2018-09,499.1475438904344,498.88673652825514
2018-10,521.602101450381,521.1018150343934
2018-11,519.6647618914408,519.4674595580569
2018-12,524.3490178074155,524.8065919580416
2019-01,526.6166666727217,527.0741159085103
2019-02,516.4345613613464,516.6040497850186
2019-03,511.5750793729509,511.3194191163886
2019-04,503.75547614930167,503.46151772660477
2019-05,446.9814166386922,446.720749574487
2019-06,542.2275833129883,541.5518742351408
2019-07,537.7382575670878,537.6142102062882
2019-08,510.212803031459,509.9114369495347
2019-09,522.945333369573,522.3509072574739
2019-10,539.3465941885244,539.7759431552057
2019-11,540.2159166971843,540.3454007813266
2019-12,556.4823809578305,556.6028232642582
2020-01,575.5673015836685,575.0827592835634
2020-02,566.8571929597018,566.4983836241765
2020-03,553.9124242320205,554.6130585192706
2020-04,580.2917460032871,578.3427243182816
2020-05,604.831749979655,604.5128669967324
2020-06,600.5462878978614,601.6808237461581
2020-07,560.5352272553878,561.8501258857993
2020-08,526.8527777989706,526.716037725961
2020-09,565.3534920404828,565.6982971103099
2020-10,594.929015231855,594.7399885179524
2020-11,614.1500000317891,613.9413517135412
2020-12,636.3082575364547,635.8471272337877
2021-01,700.7493859675892,701.0568044096077
2021-02,709.2366666626511,707.9195626915525
2021-03,716.4160144640052,715.5310885826111
2021-04,743.5392856295147,744.4021115462142
2021-05,787.177999941508,787.2220780496523
2021-06,749.8246212005615,750.0342098154957
2021-07,745.2464285653735,745.3138495469735
2021-08,753.0535606615471,753.0402998030194
2021-09,740.9923016078889,740.2077204546695
2021-10,766.4080158718049,766.2439166361537
2021-11,803.9042063213531,803.891445992857
2021-12,810.5608333529848,810.2527858782888
2022-01,829.2356665929159,827.7407536510582
2022-02,894.7082455952963,894.8195913273928
2022-03,983.6161595773006,984.0295198385728
2022-04,1005.127416674296,1005.4385073531595
2022-05,1021.551111009386,1020.5762224420282
2022-06,985.5768253992476,986.2756257999142
2022-07,893.0475832303365,893.8552825048585
2022-08,879.5447825556216,878.8812410549624
2022-09,880.2827778165303,880.9784960626807
2022-10,856.6889681740413,856.7698265234088
2022-11,880.2696031842913,879.2440431064359
2022-12,857.303254051814,858.2806712096908
2023-01,873.9693333943685,873.5629438559137
2023-02,877.4660527413351,877.6244541751128
2023-03,845.5822463933972,846.025976834571
2023-04,847.4950877741763,847.9590359477097
2023-05,827.844772714557,827.909443529212
2023-06,848.7188888731457,848.412249760448
2023-07,848.359166653951,848.7063432681151
2023-08,785.5184057484503,785.6982279757635
2023-09,774.2940833727519,774.529368293865
2023-10,747.9384848565767,747.9375513008463
2023-11,757.9690476372128,757.742736954827
2023-12,760.0863334019979,760.5120898630163
